player,prop_type,line,projection,raw_edge,avg_edge,confidence,recommended_side,recent_avg,season_avg,hit_rate_over,hit_rate_under,trend,games_analyzed,bookmaker,odds,over_odds,under_odds,implied_prob,market_prob,our_prob,adjustments,is_b2b,minutes_factor,game,home_team,away_team
Amen Thompson,points,16.5,21.0,27.3,8.7,68.0,OVER,20.2,17.5,59.0,41.0,HOT,22,fanduel,-120,-120,-110,54.5,51.0,63.2,Home: 1.09x | Rested: 1.03x,False,1.0,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets
Reed Sheppard,pra,15.5,19.8,27.9,8.3,68.0,OVER,15.8,19.2,59.0,41.0,COLD,22,fanduel,-125,-125,-106,55.6,51.9,63.9,Home: 1.06x | Rested: 1.03x,False,0.95,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets
Kyle Filipowski,threes,1.5,1.3,-15.5,8.3,59.0,UNDER,1.2,0.9,22.0,78.0,HOT,23,fanduel,-200,148,-200,66.7,62.3,74.9,Rested: 1.03x | Mins: 1.15x,False,1.29,Dallas Mavericks @ Utah Jazz,Utah Jazz,Dallas Mavericks
Sam Hauser,threes,2.5,2.2,-10.6,8.2,56.0,UNDER,2.2,2.0,28.0,72.0,HOT,25,fanduel,-142,112,-142,58.7,55.4,66.9,Rested: 1.03x,False,1.0,Detroit Pistons @ Boston Celtics,Boston Celtics,Detroit Pistons
Jock Landale,threes,0.5,1.1,111.6,8.2,52.0,OVER,0.6,1.1,64.0,36.0,COLD,25,fanduel,-174,-174,130,63.5,59.4,71.7,Home: 1.28x | Rested: 1.03x | Mins: 0.90x,False,0.9,Memphis Grizzlies @ Los Angeles Clippers,Los Angeles Clippers,Memphis Grizzlies
Payton Pritchard,threes,3.5,2.9,-17.2,7.9,63.0,UNDER,2.6,2.7,28.0,72.0,NEUTRAL,25,fanduel,-170,132,-170,63.0,59.4,70.9,Rested: 1.03x,False,1.0,Detroit Pistons @ Boston Celtics,Boston Celtics,Detroit Pistons
Nikola Jokic,threes,1.5,2.0,32.9,7.9,62.0,OVER,2.2,2.1,62.0,38.0,HOT,24,fanduel,-166,-166,124,62.4,58.3,70.3,Home: 0.86x | Rested: 1.03x,False,0.99,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets
Andrew Wiggins,threes,1.5,1.8,19.9,7.7,61.0,OVER,1.8,1.8,59.0,41.0,NEUTRAL,22,fanduel,-111,-111,-115,52.6,49.6,60.3,Rested: 1.03x,False,0.97,Toronto Raptors @ Miami Heat,Miami Heat,Toronto Raptors
Tim Hardaway Jr,threes,2.5,2.0,-19.8,7.7,61.0,UNDER,2.0,2.4,33.0,67.0,COLD,24,fanduel,-146,110,-146,59.3,55.5,67.0,Home: 0.79x | Rested: 1.03x | Mins: 1.10x,False,1.1,Houston Rockets @ Denver Nuggets,Denver Nuggets,Houston Rockets
Isaiah Stewart II,rebounds,5.5,7.7,40.6,7.6,54.0,OVER,8.8,5.7,45.0,55.0,HOT,20,fanduel,112,112,-142,47.2,44.6,54.8,B2B: 0.93x | Mins: 1.15x,True,1.41,Detroit Pistons @ Boston Celtics,Boston Celtics,Detroit Pistons
