player,prop_type,line,projection,raw_edge,avg_edge,confidence,recommended_side,recent_avg,season_avg,hit_rate_over,hit_rate_under,trend,games_analyzed,bookmaker,odds,over_odds,under_odds,implied_prob,market_prob,our_prob,adjustments,is_b2b,rest_days,minutes_factor,minutes_trend,game,home_team,away_team,opponent,opp_defense_rank,matchup_label,team_pace_rank,opp_pace_rank,news_status,news_adjustment,news_flags,news_notes,news_sources
Jalen Brunson,threes,2.5,3.0,19.3,4.8,60.0,OVER,3.6,2.8,54.0,46.0,HOT,24,fanduel,-113,-113,-113,53.1,50.0,57.9,B2B: 0.93x | Vol↑: 1.05x | HOT: 1.02x (65% TS),True,1,1.03,STABLE,Philadelphia 76ers @ New York Knicks,New York Knicks,Philadelphia 76ers,PHI,25,HARD,26,21,NO_NEWS,,,No player news found,
Harrison Barnes,threes,1.5,2.3,50.3,4.7,53.0,OVER,1.8,2.3,54.0,46.0,COLD,26,fanduel,-156,-156,122,60.9,57.5,65.7,Home: 1.29x | B2B: 0.93x | COLD: 0.95x (51% TS),True,1,0.93,DOWN,San Antonio Spurs @ Atlanta Hawks,Atlanta Hawks,San Antonio Spurs,ATL,8,GOOD,19,6,NO_NEWS,,,No player news found,
Dyson Daniels,rebounds,5.5,6.1,10.9,4.6,73.0,OVER,6.4,6.4,64.0,36.0,NEUTRAL,28,fanduel,-140,-140,110,58.3,55.1,62.9,B2B: 0.93x,True,1,1.02,STABLE,San Antonio Spurs @ Atlanta Hawks,Atlanta Hawks,San Antonio Spurs,SAS,27,TOUGH,6,19,NO_NEWS,,,No player news found,
Sam Hauser,points,6.5,5.9,-8.6,4.2,54.0,UNDER,5.4,6.6,42.0,58.0,COLD,26,fanduel,-106,-120,-106,51.5,48.5,55.7,Rested: 1.03x | Mins: 0.90x | Vol↑: 1.08x | COLD: 0.96x (42% TS),False,4,0.9,DOWN,Miami Heat @ Boston Celtics,Boston Celtics,Miami Heat,MIA,15,NEUTRAL,30,1,NO_NEWS,,,No player news found,
Devin Vassell,threes,2.5,2.8,13.8,4.1,58.0,OVER,3.2,2.8,54.0,46.0,HOT,26,fanduel,-104,-104,-122,51.0,48.1,55.1,B2B: 0.93x | Vol↓: 0.97x | HOT: 1.03x (63% TS),True,1,0.91,DOWN,San Antonio Spurs @ Atlanta Hawks,Atlanta Hawks,San Antonio Spurs,ATL,8,GOOD,19,6,NO_NEWS,,,No player news found,
Donte DiVincenzo,threes,2.5,2.6,4.6,4.1,69.0,OVER,2.4,3.1,67.0,33.0,COLD,27,fanduel,-138,-138,108,58.0,54.7,62.1,Home: 0.91x | Vol↑: 1.08x | COLD: 0.95x (48% TS),False,2,1.0,STABLE,Oklahoma City Thunder @ Minnesota Timberwolves,Minnesota Timberwolves,Oklahoma City Thunder,OKC,30,TOUGH,14,9,NO_NEWS,,,No player news found,
Kevin Huerter,threes,1.5,2.4,57.0,4.0,44.0,OVER,2.2,1.6,43.0,57.0,HOT,21,fanduel,-108,-108,-118,51.9,49.0,55.9,Home: 1.36x | Vol↓: 0.92x,False,2,0.93,DOWN,Chicago Bulls @ Cleveland Cavaliers,Cleveland Cavaliers,Chicago Bulls,CLE,11,NEUTRAL,2,13,NO_NEWS,,,No player news found,
Nikola Vucevic,assists,2.5,2.9,16.8,3.7,63.0,OVER,3.4,3.4,60.0,40.0,NEUTRAL,25,fanduel,-146,-146,114,59.3,55.9,63.0,Mins: 0.88x,False,2,0.88,DOWN,Chicago Bulls @ Cleveland Cavaliers,Cleveland Cavaliers,Chicago Bulls,CLE,11,NEUTRAL,2,13,NO_NEWS,,,No player news found,
Kel'el Ware,rebounds,10.5,9.9,-5.6,3.3,71.0,UNDER,9.0,10.3,41.0,59.0,COLD,27,fanduel,-113,-113,-113,53.1,50.0,56.3,Home: 1.11x | B2B: 0.93x,True,1,0.93,DOWN,Miami Heat @ Boston Celtics,Boston Celtics,Miami Heat,BOS,29,TOUGH,1,30,NO_NEWS,,,No player news found,
Luke Kornet,points,6.5,5.9,-9.9,3.3,54.0,UNDER,6.6,7.5,44.0,56.0,COLD,18,fanduel,-108,-118,-108,51.9,49.0,55.2,Home: 0.91x | B2B: 0.93x | COLD: 0.97x (62% TS),True,1,1.06,UP,San Antonio Spurs @ Atlanta Hawks,Atlanta Hawks,San Antonio Spurs,ATL,8,GOOD,19,6,NO_NEWS,,,No player news found,
