player,prop_type,line,projection,raw_edge,avg_edge,confidence,recommended_side,recent_avg,season_avg,hit_rate_over,hit_rate_under,trend,games_analyzed,bookmaker,odds,implied_prob,our_prob,adjustments,is_b2b,minutes_factor
Carlton Carrington,points,11.5,8.8,-23.4,53.3,76.0,UNDER,8.4,7.0,5.0,95.0,HOT,22,bovada,140,41.7,95.0,Home: 1.11x | Rested: 1.03x,False,1.08
Miles Bridges,points,26.5,22.0,-17.1,53.2,79.0,UNDER,18.0,21.0,21.0,79.0,COLD,24,bovada,190,34.5,87.7,Home: 1.11x | Rested: 1.03x,False,0.98
Jock Landale,threes,1.5,0.9,-39.1,52.8,50.0,UNDER,0.6,1.0,33.0,67.0,COLD,24,betonlineag,199,33.4,86.2,Home: 1.28x | Rested: 1.03x | Mins: 0.85x,False,0.8
Josh Giddey,points,24.5,20.4,-16.9,52.4,77.0,UNDER,18.8,20.3,24.0,76.0,COLD,21,bovada,210,32.3,84.6,Rested: 1.03x,False,1.02
KJ Simpson,pra,23.5,14.4,-38.9,51.5,57.0,UNDER,9.6,10.4,0.0,100.0,COLD,11,bovada,130,43.5,95.0,Home: 1.41x | Rested: 1.03x,False,1.01
Kyshawn George,points,18.5,13.6,-26.3,51.1,66.0,UNDER,11.0,15.2,25.0,75.0,COLD,20,bovada,170,37.0,88.1,Rested: 1.03x,False,0.99
Kyle Filipowski,threes,1.5,1.2,-18.4,51.0,59.0,UNDER,1.2,1.0,23.0,77.0,HOT,22,fanduel,182,35.5,86.5,Rested: 1.03x | Mins: 1.15x,False,1.39
Ausar Thompson,points,14.5,12.2,-16.0,50.7,72.0,UNDER,11.2,11.8,25.0,75.0,COLD,20,bovada,210,32.3,83.0,Home: 1.09x | Rested: 1.03x,False,0.98
Nikola Vucevic,points,19.5,15.8,-19.1,50.0,71.0,UNDER,13.8,15.9,27.0,73.0,COLD,22,bovada,210,32.3,82.3,Rested: 1.03x,False,0.97
Justin Champagnie,rebounds,7.5,7.0,-6.7,48.9,59.0,UNDER,5.8,3.8,10.0,90.0,HOT,20,bovada,125,44.4,93.4,Home: 1.24x | Rested: 1.03x | Mins: 1.15x,False,1.55
Andre Drummond,threes,0.5,0.3,-39.6,48.6,44.0,UNDER,0.2,0.5,41.0,59.0,COLD,22,betmgm,230,30.3,78.9,Rested: 1.03x | Mins: 0.85x,False,0.74
Ryan Kalkbrenner,points,10.5,8.2,-21.9,48.2,72.0,UNDER,8.2,9.0,23.0,77.0,COLD,22,bovada,150,40.0,88.2,Rested: 1.03x,False,0.97
Cedric Coward,points,17.5,14.9,-14.7,48.0,76.0,UNDER,12.0,13.3,21.0,79.0,COLD,24,bovada,160,38.5,86.5,Home: 1.16x | Rested: 1.03x,False,1.04
Miles Bridges,points,25.5,22.0,-13.8,47.6,79.0,UNDER,18.0,21.0,21.0,79.0,COLD,24,bovada,160,38.5,86.1,Home: 1.11x | Rested: 1.03x,False,0.98
Lonzo Ball,assists,5.5,4.3,-21.5,47.3,67.0,UNDER,4.6,4.9,28.0,72.0,COLD,18,bovada,180,35.7,83.0,Home: 0.90x | Rested: 1.03x,False,1.04
Tre Johnson,points,13.5,9.1,-32.6,47.3,64.0,UNDER,10.4,11.5,33.0,67.0,COLD,15,bovada,180,35.7,83.0,Rested: 1.03x | Mins: 0.85x,False,0.85
Jusuf Nurkic,points,11.5,11.3,-1.9,47.3,74.0,UNDER,10.4,8.2,14.0,86.0,HOT,22,bovada,150,40.0,87.3,Home: 1.17x | Rested: 1.03x,False,0.91
De'Andre Hunter,threes,2.5,1.7,-30.6,46.7,57.0,UNDER,1.0,2.0,29.0,71.0,COLD,21,bovada,150,40.0,86.7,Home: 1.06x | Rested: 1.03x,False,0.97
Santi Aldama,points,15.5,12.8,-17.1,46.5,74.0,UNDER,10.6,13.1,25.0,75.0,COLD,24,bovada,170,37.0,83.6,Rested: 1.03x,False,0.93
Jalen Duren,assists,2.5,1.6,-35.8,46.3,56.0,UNDER,1.2,1.8,33.0,67.0,COLD,21,betonlineag,161,38.3,84.6,Rested: 1.03x,False,1.02
KJ Simpson,pra,22.5,14.4,-36.2,46.2,57.0,UNDER,9.6,10.4,0.0,100.0,COLD,11,bovada,105,48.8,95.0,Home: 1.41x | Rested: 1.03x,False,1.01
Kon Knueppel,assists,4.5,4.0,-12.0,45.9,68.0,UNDER,4.6,3.2,17.0,83.0,HOT,24,betmgm,130,43.5,89.3,Home: 0.95x | Rested: 1.03x,False,1.02
Josh Giddey,points,23.5,20.4,-13.3,45.8,77.0,UNDER,18.8,20.3,24.0,76.0,COLD,21,bovada,170,37.0,82.9,Rested: 1.03x,False,1.02
Carlton Carrington,points,10.5,8.8,-16.1,45.6,73.0,UNDER,8.4,7.0,14.0,86.0,HOT,22,bovada,105,48.8,94.4,Home: 1.11x | Rested: 1.03x,False,1.08
De'Andre Hunter,points,18.5,13.0,-29.8,45.2,69.0,UNDER,9.6,16.0,33.0,67.0,COLD,21,bovada,175,36.4,81.6,Rested: 1.03x,False,0.97
Jock Landale,points,13.5,10.9,-18.9,45.2,72.0,UNDER,9.8,10.9,25.0,75.0,COLD,24,bovada,155,39.2,84.4,Home: 1.16x | Rested: 1.03x | Mins: 0.85x,False,0.8
Sion James,threes,1.5,0.9,-43.1,44.9,55.0,UNDER,0.8,1.2,38.0,62.0,COLD,24,betmgm,155,39.2,84.1,Home: 0.93x | Rested: 1.03x,False,0.98
Ace Bailey,rebounds,4.5,3.3,-26.1,44.2,64.0,UNDER,2.6,3.3,26.0,74.0,COLD,23,fanduel,134,42.7,86.9,Rested: 1.03x | Mins: 1.15x,False,1.3
Cedric Coward,rebounds,8.5,7.4,-13.2,44.1,69.0,UNDER,6.8,6.2,29.0,71.0,HOT,24,bovada,200,33.3,77.4,Home: 1.11x | Rested: 1.03x,False,1.04
Kyshawn George,points,17.5,13.6,-22.1,43.5,66.0,UNDER,11.0,15.2,25.0,75.0,COLD,20,bovada,135,42.6,86.0,Rested: 1.03x,False,0.99
Cade Cunningham,assists,10.5,9.9,-5.6,43.3,76.0,UNDER,8.8,9.3,24.0,76.0,COLD,21,bovada,180,35.7,79.0,Home: 1.09x | Rested: 1.03x,False,0.98
Jared McCain,pra,19.5,14.6,-25.2,42.6,53.0,UNDER,14.2,11.1,14.0,86.0,HOT,14,betmgm,-110,52.4,95.0,Home: 0.90x | Rested: 1.03x | Mins: 1.15x,False,1.22
Zaccharie Risacher,threes,1.5,1.0,-31.9,42.5,48.0,UNDER,0.4,1.3,36.0,64.0,COLD,22,draftkings,170,37.0,79.6,Home: 1.23x | Rested: 1.03x,False,1.01
Vit Krejci,points,11.5,8.4,-27.3,42.2,55.0,UNDER,8.4,10.1,38.0,62.0,COLD,21,bovada,200,33.3,75.5,Home: 0.89x | Rested: 1.03x,False,1.05
Cade Cunningham,threes,2.5,1.8,-26.4,42.1,60.0,UNDER,1.4,1.9,33.0,67.0,COLD,21,bovada,165,37.7,79.9,Home: 1.05x | Rested: 1.03x,False,0.98
KJ Simpson,pra,21.5,14.4,-33.2,41.5,54.0,UNDER,9.6,10.4,9.0,91.0,COLD,11,bovada,-115,53.5,95.0,Home: 1.41x | Rested: 1.03x,False,1.01
Jalen Duren,points,21.5,19.8,-7.8,40.8,71.0,UNDER,15.8,18.8,29.0,71.0,COLD,21,bovada,190,34.5,75.3,Home: 1.11x | Rested: 1.03x,False,1.02
Jaylen Wells,threes,2.5,2.4,-3.7,40.4,59.0,UNDER,2.2,1.8,29.0,71.0,HOT,24,bovada,210,32.3,72.7,Home: 1.09x | Rested: 1.03x,False,1.05
Jalen Johnson,threes,1.5,2.8,89.7,39.4,49.0,OVER,2.8,1.6,55.0,45.0,HOT,22,bovada,-125,55.6,95.0,Rested: 1.03x | Mins: 1.13x,False,1.13
Tre Johnson,points,12.5,9.1,-27.2,38.6,64.0,UNDER,10.4,11.5,33.0,67.0,COLD,15,bovada,140,41.7,80.3,Rested: 1.03x | Mins: 0.85x,False,0.85
Evan Mobley,points,22.5,20.9,-7.3,38.6,81.0,UNDER,19.6,18.9,25.0,75.0,NEUTRAL,24,bovada,150,40.0,78.6,Home: 1.05x | Rested: 1.03x,False,0.99
Nikola Vucevic,points,18.5,15.8,-14.7,38.5,69.0,UNDER,13.8,15.9,32.0,68.0,COLD,22,bovada,170,37.0,75.5,Rested: 1.03x,False,0.97
Isaac Okoro,pra,8.5,12.4,46.0,38.5,58.0,OVER,12.8,12.5,73.0,27.0,NEUTRAL,15,betmgm,-130,56.5,95.0,Home: 0.91x | Rested: 1.03x,False,1.08
Ron Holland,assists,1.5,1.0,-35.6,38.4,59.0,UNDER,0.8,1.6,42.0,58.0,COLD,24,betmgm,165,37.7,76.1,Home: 0.83x | Rested: 1.03x,False,0.9
Jay Huff,assists,1.5,2.8,89.8,38.3,43.0,OVER,2.4,1.3,46.0,54.0,HOT,24,betmgm,-110,52.4,90.7,Home: 1.19x | Rested: 1.03x | Mins: 1.15x,False,1.36
Ryan Kalkbrenner,rebounds,7.5,6.2,-17.7,38.1,74.0,UNDER,6.6,6.7,27.0,73.0,NEUTRAL,22,bovada,130,43.5,81.6,Home: 0.91x | Rested: 1.03x,False,0.97
Mouhamed Gueye,rebounds,2.5,4.1,64.3,37.6,60.0,OVER,3.0,3.8,68.0,32.0,COLD,25,betonlineag,-135,57.4,95.0,Home: 1.25x | Rested: 1.03x,False,1.03
Duncan Robinson,threes,3.5,3.2,-9.3,37.1,67.0,UNDER,2.8,3.0,32.0,68.0,COLD,22,bovada,180,35.7,72.8,Home: 1.06x | Rested: 1.03x,False,0.98
Jaylen Wells,points,15.5,15.3,-1.1,36.9,72.0,UNDER,16.2,12.2,29.0,71.0,HOT,24,bovada,190,34.5,71.4,Rested: 1.03x,False,1.05
Jarace Walker,threes,1.5,1.2,-22.5,36.7,48.0,UNDER,1.0,1.5,38.0,62.0,COLD,24,betmgm,170,37.0,73.8,Rested: 1.03x | Mins: 0.85x,False,0.75
Mouhamed Gueye,points,3.5,5.9,67.2,36.7,51.0,OVER,4.2,5.8,60.0,40.0,COLD,25,fanduel,-132,56.9,93.6,Home: 1.19x | Rested: 1.03x,False,1.03
Miles Bridges,points,24.5,22.0,-10.3,36.7,78.0,UNDER,18.0,21.0,25.0,75.0,COLD,24,bovada,130,43.5,80.2,Home: 1.11x | Rested: 1.03x,False,0.98
Marvin Bagley III,points,12.5,11.4,-8.7,36.7,61.0,UNDER,11.8,8.5,22.0,78.0,HOT,18,bovada,120,45.5,82.1,Rested: 1.03x | Mins: 1.15x,False,1.46
Jarace Walker,pra,11.5,13.5,17.6,36.6,77.0,OVER,11.2,16.9,83.0,17.0,COLD,24,betmgm,-125,55.6,92.1,Home: 1.11x | Rested: 1.03x | Mins: 0.85x,False,0.75
Keyonte George,threes,2.5,1.6,-36.5,36.3,60.0,UNDER,1.4,2.1,35.0,65.0,COLD,23,fanduel,112,47.2,83.5,Home: 0.92x | Rested: 1.03x | Mins: 0.85x,False,0.86
Jared McCain,pra,18.5,14.6,-21.2,36.1,51.0,UNDER,14.2,11.1,21.0,79.0,HOT,14,fanduel,-113,53.1,89.2,Home: 0.90x | Rested: 1.03x | Mins: 1.15x,False,1.22
KJ Simpson,pra,20.5,14.4,-30.0,35.8,54.0,UNDER,9.6,10.4,9.0,91.0,COLD,11,bovada,-145,59.2,95.0,Home: 1.41x | Rested: 1.03x,False,1.01
Ace Bailey,threes,1.5,3.3,119.0,35.8,45.0,OVER,2.4,1.5,48.0,52.0,HOT,23,betmgm,-145,59.2,95.0,Home: 1.31x | Rested: 1.03x | Mins: 1.15x,False,1.3
Lauri Markkanen,threes,3.5,2.7,-21.9,35.4,63.0,UNDER,1.8,3.0,36.0,64.0,COLD,22,bovada,155,39.2,74.6,Home: 1.17x | Rested: 1.03x,False,0.95
Cedric Coward,points,16.5,14.9,-9.5,35.3,75.0,UNDER,12.0,13.3,25.0,75.0,COLD,24,bovada,125,44.4,79.7,Home: 1.16x | Rested: 1.03x,False,1.04
Santi Aldama,rebounds,7.5,6.1,-19.2,35.0,76.0,UNDER,5.8,6.5,29.0,71.0,COLD,24,bovada,120,45.5,80.4,Rested: 1.03x,False,0.93
Matas Buzelis,rebounds,4.5,6.8,52.2,35.0,66.0,OVER,7.4,5.7,70.0,30.0,HOT,23,betmgm,-150,60.0,95.0,Home: 0.90x | Rested: 1.03x | Mins: 1.14x,False,1.14
C.J. McCollum,threes,2.5,4.8,91.9,35.0,48.0,OVER,3.0,3.0,50.0,50.0,NEUTRAL,22,fanduel,-150,60.0,95.0,Home: 1.47x | Rested: 1.03x,False,1.04
Luke Kennard,threes,1.5,1.0,-33.3,34.8,49.0,UNDER,1.4,1.5,36.0,64.0,NEUTRAL,22,betmgm,120,45.5,80.3,Home: 0.69x | Rested: 1.03x,False,0.9
De'Andre Hunter,assists,2.5,1.8,-27.5,34.8,58.0,UNDER,1.8,2.5,38.0,62.0,COLD,21,williamhill_us,145,40.8,75.6,Home: 0.89x | Rested: 1.03x,False,0.97
Josh Giddey,points,22.5,20.4,-9.5,34.5,75.0,UNDER,18.8,20.3,29.0,71.0,COLD,21,bovada,140,41.7,76.2,Rested: 1.03x,False,1.02
Caris LeVert,points,10.5,9.2,-12.1,34.3,61.0,UNDER,8.0,9.3,33.0,67.0,COLD,18,bovada,160,38.5,72.7,Rested: 1.03x,False,1.08
Pascal Siakam,assists,4.5,3.8,-16.5,34.3,65.0,UNDER,3.0,4.1,30.0,70.0,COLD,23,bovada,130,43.5,77.8,Home: 1.09x | Rested: 1.03x,False,0.98
Dean Wade,rebounds,4.5,4.1,-9.3,34.2,65.0,UNDER,3.4,3.8,30.0,70.0,COLD,23,betmgm,150,40.0,74.2,Rested: 1.03x,False,0.99
Cam Spencer,threes,1.5,2.9,93.9,34.1,67.0,OVER,2.6,2.2,71.0,29.0,HOT,24,betonlineag,-156,60.9,95.0,Rested: 1.03x | Mins: 1.15x,False,1.21
Santi Aldama,points,14.5,12.8,-11.4,34.0,73.0,UNDER,10.6,13.1,29.0,71.0,COLD,24,bovada,135,42.6,76.5,Rested: 1.03x,False,0.93
Luke Kennard,assists,1.5,2.7,80.7,33.9,69.0,OVER,2.6,2.3,82.0,18.0,HOT,22,draftkings,-157,61.1,95.0,Rested: 1.03x,False,0.9
Kyshawn George,assists,5.5,4.5,-18.9,33.7,66.0,UNDER,4.4,4.8,35.0,65.0,COLD,20,bovada,145,40.8,74.5,Home: 0.89x | Rested: 1.03x,False,0.99
Isaiah Stewart II,assists,0.5,1.4,186.5,33.5,53.0,OVER,1.4,1.3,78.0,22.0,HOT,18,betmgm,-160,61.5,95.0,Rested: 1.03x | Mins: 1.15x,False,1.46
De'Andre Hunter,points,17.5,13.0,-25.8,33.1,68.0,UNDER,9.6,16.0,38.0,62.0,COLD,21,bovada,140,41.7,74.8,Rested: 1.03x,False,0.97
Lonzo Ball,rebounds,4.5,6.3,39.8,32.7,61.0,OVER,6.4,4.6,56.0,44.0,HOT,18,fanduel,134,42.7,75.5,Home: 1.10x | Rested: 1.03x,False,1.04
Ausar Thompson,points,13.5,12.2,-9.8,32.2,69.0,UNDER,11.2,11.8,35.0,65.0,COLD,20,bovada,165,37.7,69.9,Home: 1.09x | Rested: 1.03x,False,0.98
Jalen Johnson,assists,7.5,13.3,77.4,32.2,63.0,OVER,10.8,7.9,50.0,50.0,HOT,22,betonlineag,-130,56.5,88.7,Home: 1.18x | Rested: 1.03x | Mins: 1.13x,False,1.13
Ace Bailey,assists,1.5,2.6,74.9,32.2,57.0,OVER,1.8,1.7,52.0,48.0,NEUTRAL,23,betonlineag,-135,57.4,89.6,Home: 1.19x | Rested: 1.03x | Mins: 1.15x,False,1.3
Svi Mykhailiuk,assists,1.5,2.7,77.0,32.0,59.0,OVER,2.0,2.1,61.0,39.0,NEUTRAL,23,williamhill_us,-170,63.0,95.0,Home: 1.25x | Rested: 1.03x,False,0.98
Duncan Robinson,threes,2.5,3.2,27.0,31.7,68.0,OVER,2.8,3.0,73.0,27.0,COLD,22,betmgm,-120,54.5,86.2,Home: 1.06x | Rested: 1.03x,False,0.98
Jusuf Nurkic,rebounds,10.5,9.0,-14.0,31.7,73.0,UNDER,8.0,9.2,32.0,68.0,COLD,22,bovada,130,43.5,75.2,Rested: 1.03x,False,0.91
Carlton Carrington,assists,5.5,5.4,-1.8,31.7,66.0,UNDER,4.4,4.2,23.0,77.0,NEUTRAL,22,bovada,115,46.5,78.2,Home: 1.25x | Rested: 1.03x,False,1.08
Jock Landale,points,12.5,10.9,-12.4,31.6,70.0,UNDER,9.8,10.9,29.0,71.0,COLD,24,bovada,120,45.5,77.0,Home: 1.16x | Rested: 1.03x | Mins: 0.85x,False,0.8
Jaylon Tyson,threes,1.5,3.1,108.5,31.4,58.0,OVER,2.6,2.2,65.0,35.0,HOT,20,betmgm,-175,63.6,95.0,Home: 1.14x | Rested: 1.03x | Mins: 1.15x,False,1.19
Donovan Mitchell,threes,4.5,4.0,-12.1,31.3,68.0,UNDER,3.6,4.0,35.0,65.0,COLD,23,bovada,150,40.0,71.3,Rested: 1.03x,False,1.03
Donovan Mitchell,assists,4.5,5.9,31.7,31.2,78.0,OVER,6.0,5.5,78.0,22.0,HOT,23,bovada,-170,63.0,94.1,Rested: 1.03x,False,1.03
Tre Jones,pra,16.5,19.8,20.0,30.9,72.0,OVER,20.2,21.4,76.0,24.0,COLD,17,betmgm,-125,55.6,86.5,Home: 0.91x | Rested: 1.03x,False,0.98
KJ Simpson,pra,19.5,14.4,-26.4,30.7,54.0,UNDER,9.6,10.4,9.0,91.0,COLD,11,bovada,-180,64.3,95.0,Home: 1.41x | Rested: 1.03x,False,1.01
Dyson Daniels,assists,6.5,6.0,-7.4,30.7,68.0,UNDER,5.2,5.8,36.0,64.0,COLD,25,bovada,170,37.0,67.7,Home: 1.06x | Rested: 1.03x,False,1.09
Nikola Vucevic,points,17.5,15.8,-9.8,30.5,69.0,UNDER,13.8,15.9,32.0,68.0,COLD,22,bovada,135,42.6,73.1,Rested: 1.03x,False,0.97
Cedric Coward,assists,3.5,2.8,-18.7,30.5,66.0,UNDER,2.2,2.7,38.0,62.0,COLD,24,fanduel,142,41.3,71.9,Home: 1.17x | Rested: 1.03x,False,1.04
Zaccharie Risacher,pra,13.5,16.7,23.5,30.3,72.0,OVER,12.8,15.4,73.0,27.0,COLD,22,draftkings,-118,54.1,84.5,Home: 1.18x | Rested: 1.03x,False,1.01
Kentavious Caldwell-Pope,assists,2.5,3.5,42.0,30.2,64.0,OVER,3.2,3.1,62.0,38.0,NEUTRAL,24,betonlineag,-114,53.3,83.5,Home: 1.23x | Rested: 1.03x | Mins: 0.88x,False,0.88
Kyshawn George,rebounds,6.5,4.7,-28.2,29.9,60.0,UNDER,4.6,5.9,45.0,55.0,COLD,20,bovada,155,39.2,69.1,Home: 0.85x | Rested: 1.03x,False,0.99
Moussa Diabate,points,9.5,7.0,-26.4,29.7,67.0,UNDER,5.2,8.7,43.0,57.0,COLD,23,bovada,150,40.0,69.7,Rested: 1.03x,False,0.95
Jock Landale,threes,0.5,0.9,82.8,29.5,49.0,OVER,0.6,1.0,62.0,38.0,COLD,24,betmgm,-190,65.5,95.0,Home: 1.28x | Rested: 1.03x | Mins: 0.85x,False,0.8
Lauri Markkanen,assists,1.5,1.9,27.1,29.4,64.0,OVER,1.2,2.0,73.0,27.0,COLD,22,williamhill_us,-132,56.9,86.3,Home: 1.12x | Rested: 1.03x,False,0.95
Ausar Thompson,rebounds,4.5,7.2,59.3,29.1,64.0,OVER,6.2,6.0,65.0,35.0,NEUTRAL,20,bovada,-190,65.5,94.6,Home: 1.20x | Rested: 1.03x,False,0.98
Lauri Markkanen,rebounds,5.5,8.3,50.1,29.0,71.0,OVER,8.0,6.5,68.0,32.0,HOT,22,bovada,-180,64.3,93.2,Home: 1.09x | Rested: 1.03x,False,0.95
Tyrese Maxey,pra,37.5,42.7,13.8,28.6,82.0,OVER,41.8,43.4,78.0,22.0,NEUTRAL,23,bovada,-130,56.5,85.2,Rested: 1.03x,False,0.99
C.J. McCollum,rebounds,3.5,2.8,-20.1,28.4,60.0,UNDER,2.0,3.0,36.0,64.0,COLD,22,draftkings,121,45.2,73.7,Home: 1.08x | Rested: 1.03x,False,1.04
Tyrese Maxey,pra,35.5,42.7,20.2,28.4,83.0,OVER,41.8,43.4,83.0,17.0,NEUTRAL,23,bovada,-180,64.3,92.7,Rested: 1.03x,False,0.99
Dean Wade,assists,1.5,2.2,45.2,28.3,45.0,OVER,1.8,1.6,43.0,57.0,HOT,23,betmgm,165,37.7,66.1,Home: 1.16x | Rested: 1.03x,False,0.99
Onyeka Okongwu,assists,2.5,4.4,77.5,28.3,65.0,OVER,4.6,3.0,58.0,42.0,HOT,24,bovada,-200,66.7,95.0,Rested: 1.03x | Mins: 1.15x,False,1.17
Tre Jones,pra,15.5,19.8,27.7,28.1,72.0,OVER,20.2,21.4,76.0,24.0,COLD,17,bovada,-165,62.3,90.3,Home: 0.91x | Rested: 1.03x,False,0.98
Marvin Bagley III,points,11.5,11.4,-0.7,28.1,61.0,UNDER,11.8,8.5,22.0,78.0,HOT,18,betmgm,100,50.0,78.1,Rested: 1.03x | Mins: 1.15x,False,1.46
Isaac Okoro,pra,9.5,12.4,30.7,27.9,56.0,OVER,12.8,12.5,67.0,33.0,NEUTRAL,15,betonlineag,-118,54.1,82.0,Home: 0.91x | Rested: 1.03x,False,1.08
Evan Mobley,threes,1.5,1.2,-22.2,27.8,53.0,UNDER,1.2,1.5,42.0,58.0,COLD,24,betmgm,140,41.7,69.4,Home: 0.89x | Rested: 1.03x,False,0.99
Nickeil Alexander-Walker,threes,2.5,4.1,63.7,27.5,55.0,OVER,4.4,2.9,52.0,48.0,HOT,23,fanduel,-130,56.5,84.0,Rested: 1.03x,False,1.07
VJ Edgecombe,pra,25.5,17.8,-30.3,27.5,69.0,UNDER,18.6,24.0,40.0,60.0,COLD,20,betrivers,110,47.6,75.1,Rested: 1.03x | Mins: 0.85x,False,0.76
Vit Krejci,points,10.5,8.4,-20.4,27.3,54.0,UNDER,8.4,10.1,43.0,57.0,COLD,21,bovada,150,40.0,67.3,Home: 0.89x | Rested: 1.03x,False,1.05
Jaylon Tyson,points,13.5,20.3,50.6,27.2,59.0,OVER,18.6,13.0,50.0,50.0,HOT,20,williamhill_us,108,48.1,75.3,Home: 1.08x | Rested: 1.03x | Mins: 1.15x,False,1.19
Zaccharie Risacher,pra,12.5,16.7,33.3,27.1,72.0,OVER,12.8,15.4,73.0,27.0,COLD,22,bovada,-165,62.3,89.4,Home: 1.18x | Rested: 1.03x,False,1.01
Dean Wade,points,5.5,4.3,-21.1,27.0,63.0,UNDER,5.4,5.3,35.0,65.0,NEUTRAL,23,betonlineag,105,48.8,75.8,Home: 0.80x | Rested: 1.03x,False,0.99
Tyrese Maxey,pra,38.5,42.7,10.9,27.0,80.0,OVER,41.8,43.4,74.0,26.0,NEUTRAL,23,bovada,-110,52.4,79.3,Rested: 1.03x,False,0.99
Zaccharie Risacher,pra,14.5,16.7,14.9,26.9,71.0,OVER,12.8,15.4,68.0,32.0,COLD,22,bovada,105,48.8,75.7,Home: 1.18x | Rested: 1.03x,False,1.01
Patrick Williams,assists,0.5,0.8,61.7,26.7,48.0,OVER,0.6,1.3,64.0,36.0,COLD,22,betmgm,-210,67.7,94.5,Home: 0.86x | Rested: 1.03x,False,1.0
Tyrese Maxey,pra,36.5,42.7,16.9,26.7,82.0,OVER,41.8,43.4,78.0,22.0,NEUTRAL,23,bovada,-150,60.0,86.7,Rested: 1.03x,False,0.99
De'Andre Hunter,rebounds,4.5,3.6,-20.2,26.5,71.0,UNDER,3.0,4.3,38.0,62.0,COLD,21,williamhill_us,120,45.5,72.0,Rested: 1.03x,False,0.97
Miles Bridges,points,23.5,22.0,-6.5,26.5,76.0,UNDER,18.0,21.0,29.0,71.0,COLD,24,bovada,110,47.6,74.1,Home: 1.11x | Rested: 1.03x,False,0.98
Ron Holland,threes,0.5,0.8,50.5,26.5,44.0,OVER,0.8,0.8,50.0,50.0,HOT,24,betmgm,105,48.8,75.2,Home: 1.13x | Rested: 1.03x,False,0.9
