player,prop_type,line,projection,raw_edge,avg_edge,confidence,grade,recommended_side,recent_avg,season_avg,hit_rate_over,hit_rate_under,trend,games_analyzed,bookmaker,odds,implied_prob,our_prob,adjustments,is_b2b,minutes_factor
Vit Krejci,points,10.5,8.5,-19.2,29.5,56.0,51.3,UNDER,9.0,10.0,41.0,59.0,COLD,22,bovada,155,39.2,68.7,Home: 0.90x,False,1.06
De'Andre Hunter,points,16.5,13.3,-19.2,19.9,68.0,51.2,UNDER,11.0,15.9,41.0,59.0,COLD,22,bovada,105,48.8,68.7,,False,0.97
Gary Trent Jr,points,11.5,9.9,-13.7,18.4,68.0,50.2,UNDER,9.4,9.8,38.0,62.0,NEUTRAL,26,betonlineag,100,50.0,68.4,Rested: 1.03x,False,0.96
Ziaire Williams,pra,11.5,15.3,33.1,16.8,60.0,49.6,OVER,13.0,12.7,52.0,48.0,NEUTRAL,21,betonlineag,-109,52.2,68.9,Home: 1.21x,False,0.98
Noah Clowney,points,13.5,21.6,60.2,24.7,58.0,49.2,OVER,17.6,13.2,46.0,54.0,HOT,24,betrivers,-105,51.2,75.9,Home: 1.14x | Mins: 1.14x,False,1.14
Jalen Johnson,points,21.5,28.4,32.2,11.6,75.0,48.9,OVER,28.0,23.2,65.0,35.0,HOT,23,bovada,-230,69.7,81.3,Mins: 1.10x,False,1.1
Ryan Rollins,points,18.5,17.0,-8.2,14.2,71.0,48.4,UNDER,14.4,17.2,42.0,58.0,COLD,26,betrivers,110,47.6,61.8,Home: 1.06x | Rested: 1.03x,False,0.96
Jalen Johnson,assists,8.5,12.5,47.3,7.2,60.0,48.2,OVER,10.8,8.0,35.0,65.0,HOT,23,draftkings,-105,51.2,58.4,Home: 1.15x | Mins: 1.10x,False,1.1
Ryan Rollins,points,16.5,17.0,2.9,-16.2,66.0,47.4,OVER,14.4,17.2,42.0,58.0,COLD,26,bovada,-150,60.0,43.8,Home: 1.06x | Rested: 1.03x,False,0.96
Vit Krejci,rebounds,2.5,2.5,1.3,-7.2,59.0,47.3,OVER,2.2,2.3,41.0,59.0,NEUTRAL,22,williamhill_us,105,48.8,41.6,Home: 1.12x,False,1.06
Zaccharie Risacher,pra,16.5,16.7,1.2,-10.7,64.0,47.0,OVER,13.0,15.4,39.0,61.0,COLD,23,fanduel,-102,50.5,39.7,Home: 1.19x,False,0.98
