player,prop_type,line,projection,raw_edge,avg_edge,confidence,recommended_side,recent_avg,season_avg,hit_rate_over,hit_rate_under,trend,games_analyzed,bookmaker,odds,implied_prob,our_prob,adjustments,is_b2b,minutes_factor
Dylan Harper,rebounds,2.5,3.5,41.7,31.2,49.0,OVER,3.2,3.1,64.0,36.0,NEUTRAL,14,betrivers,-117,53.9,85.2,Home: 1.22x | Rested: 1.03x,False,1.03
Harrison Barnes,points,13.5,19.3,42.9,30.8,61.0,OVER,17.8,13.5,42.0,58.0,HOT,24,bovada,210,32.3,63.1,Home: 1.21x | Rested: 1.03x,False,1.06
Victor Wembanyama,pra,26.5,46.7,76.1,30.7,72.0,OVER,45.2,43.1,92.0,8.0,NEUTRAL,12,bovada,-180,64.3,95.0,Rested: 1.03x,False,1.03
Shai Gilgeous-Alexander,threes,1.5,2.1,40.8,30.6,70.0,OVER,2.6,2.2,71.0,29.0,HOT,24,fanduel,-154,60.6,91.2,Home: 0.85x | Rested: 1.03x,False,0.99
Myles Turner,threes,2.5,1.8,-27.7,30.4,62.0,UNDER,2.0,2.2,42.0,58.0,COLD,26,williamhill_us,143,41.2,71.6,Mins: 0.85x,False,0.85
Dean Wade,points,5.5,3.9,-29.9,30.2,64.0,UNDER,5.2,5.2,33.0,67.0,NEUTRAL,24,fanduel,-106,51.5,81.6,Home: 0.83x | B2B: 0.93x,True,1.02
Andrew Nembhard,rebounds,3.5,3.0,-14.3,30.1,56.0,UNDER,3.6,2.3,29.0,71.0,HOT,17,fanduel,110,47.6,77.8,Home: 1.09x | B2B: 0.93x,True,1.03
Gary Trent Jr,threes,2.5,2.0,-18.6,29.9,64.0,UNDER,1.8,2.2,38.0,62.0,COLD,26,fanduel,144,41.0,70.8,None,False,0.96
Carlton Carrington,threes,1.5,2.7,80.3,29.9,55.0,OVER,2.6,1.7,52.0,48.0,HOT,23,draftkings,-166,62.4,92.3,Home: 1.16x | B2B: 0.93x | Mins: 1.15x,True,1.16
Keldon Johnson,assists,1.5,2.0,33.0,29.8,58.0,OVER,1.4,1.7,54.0,46.0,COLD,24,betmgm,145,40.8,70.6,Home: 1.22x | Rested: 1.03x,False,0.98
Pascal Siakam,rebounds,7.5,5.9,-21.0,29.5,71.0,UNDER,6.0,7.0,33.0,67.0,COLD,24,fanduel,110,47.6,77.2,B2B: 0.93x,True,0.96
Tre Johnson,points,10.5,7.1,-32.6,29.5,62.0,UNDER,9.0,11.0,38.0,62.0,COLD,16,betonlineag,103,49.3,78.8,Home: 0.91x | B2B: 0.93x | Mins: 0.85x,True,0.82
Kyle Kuzma,points,15.5,13.7,-11.8,28.6,69.0,UNDER,13.4,13.5,28.0,72.0,NEUTRAL,25,betonlineag,103,49.3,77.9,None,False,0.99
Noah Clowney,threes,1.5,3.2,111.1,28.3,57.0,OVER,2.8,2.2,67.0,33.0,HOT,24,williamhill_us,-200,66.7,95.0,Home: 1.11x | B2B: 0.93x | Mins: 1.14x,True,1.14
Keldon Johnson,threes,0.5,1.1,128.6,28.3,45.0,OVER,1.0,0.9,54.0,46.0,HOT,24,betmgm,-200,66.7,95.0,Rested: 1.03x,False,0.98
Harrison Barnes,points,8.5,19.3,126.9,27.3,69.0,OVER,17.8,13.5,71.0,29.0,HOT,24,bovada,-210,67.7,95.0,Home: 1.21x | Rested: 1.03x,False,1.06
Noah Clowney,points,12.5,20.1,60.9,27.2,59.0,OVER,17.6,13.2,50.0,50.0,HOT,24,fanduel,-114,53.3,80.4,Home: 1.14x | B2B: 0.93x | Mins: 1.14x,True,1.14
Luguentz Dort,rebounds,2.5,3.6,43.7,27.0,58.0,OVER,3.4,3.9,69.0,31.0,COLD,16,betmgm,-175,63.6,90.6,Rested: 1.03x,False,0.92
Devin Vassell,threes,1.5,3.0,99.3,26.2,59.0,OVER,2.8,2.7,67.0,33.0,NEUTRAL,24,bovada,-220,68.8,95.0,Rested: 1.03x,False,0.91
Marvin Bagley III,points,12.5,11.5,-8.0,26.2,61.0,UNDER,12.2,8.8,26.0,74.0,HOT,19,fanduel,-106,51.5,77.7,B2B: 0.93x | Mins: 1.15x,True,1.42
Noah Clowney,rebounds,3.5,5.1,46.0,26.0,66.0,OVER,4.6,3.8,62.0,38.0,HOT,24,draftkings,-147,59.5,85.5,Home: 1.16x | B2B: 0.93x | Mins: 1.14x,True,1.14
Miles Bridges,pra,35.5,29.0,-18.4,25.8,79.0,UNDER,27.2,31.3,32.0,68.0,COLD,25,fanduel,-106,51.5,77.2,Home: 1.08x | B2B: 0.93x,True,0.94
Shai Gilgeous-Alexander,threes,2.5,2.1,-15.5,25.6,65.0,UNDER,2.6,2.2,46.0,54.0,HOT,24,bovada,175,36.4,61.9,Home: 0.85x | Rested: 1.03x,False,0.99
