player,prop_type,line,odds,sample_size,recent_avg,recent_median,recent_std,hit_rate_over,hit_rate_under,last_5_trend,last_5_avg,model_predictions,recommended_side,avg_edge,confidence,bookmaker
Anthony Black,points,15.5,-114,15,14.0,14.0,7.44,40.0,60.0,↓,14.4,"{'weighted': {'projection': np.float64(11.1), 'confidence': np.float64(0.273), 'edge': np.float64(-0.2819), 'side': 'under'}, 'ensemble': {'projection': np.float64(12.0), 'confidence': np.float64(0.308), 'edge': np.float64(-0.2226), 'side': 'under'}}",under,-25.22,0.29,fanduel
Anthony Black,points,16.5,-105,15,14.0,14.0,7.44,33.3,66.7,↓,14.4,"{'weighted': {'projection': np.float64(11.1), 'confidence': np.float64(0.273), 'edge': np.float64(-0.3255), 'side': 'under'}, 'ensemble': {'projection': np.float64(12.0), 'confidence': np.float64(0.308), 'edge': np.float64(-0.2697), 'side': 'under'}}",under,-29.76,0.29,draftkings
Anthony Black,pra,27.5,-125,15,21.7,23.0,8.81,20.0,80.0,↑,26.6,"{'weighted': {'projection': np.float64(16.2), 'confidence': np.float64(0.454), 'edge': np.float64(-0.4102), 'side': 'under'}, 'ensemble': {'projection': np.float64(18.6), 'confidence': np.float64(0.505), 'edge': np.float64(-0.3236), 'side': 'under'}}",under,-36.69,0.48,draftkings
Anthony Black,rebounds,5.5,100,15,4.3,4.0,3.11,26.7,73.3,↑,7.8,"{'weighted': {'projection': np.float64(2.8), 'confidence': np.float64(0.516), 'edge': np.float64(-0.4909), 'side': 'under'}, 'ensemble': {'projection': np.float64(2.9), 'confidence': np.float64(0.52), 'edge': np.float64(-0.4727), 'side': 'under'}}",under,-48.18,0.52,draftkings
Austin Reaves,assists,4.5,-135,15,5.6,4.0,3.0,46.7,53.3,↓,6.6,"{'weighted': {'projection': np.float64(6.0), 'confidence': np.float64(0.518), 'edge': np.float64(0.3267), 'side': 'over'}, 'ensemble': {'projection': np.float64(5.0), 'confidence': np.float64(0.38), 'edge': np.float64(0.1111), 'side': 'over'}}",over,21.89,0.45,draftkings
Austin Reaves,points,22.5,-120,15,26.5,26.0,9.27,66.7,33.3,↓,28.0,"{'weighted': {'projection': np.float64(23.9), 'confidence': np.float64(0.732), 'edge': np.float64(0.0609), 'side': 'over'}, 'ensemble': {'projection': np.float64(24.7), 'confidence': np.float64(0.734), 'edge': np.float64(0.0978), 'side': 'over'}}",over,7.94,0.73,fanduel
Austin Reaves,pra,32.5,-120,15,37.5,39.0,11.19,66.7,33.3,↓,38.8,"{'weighted': {'projection': np.float64(34.9), 'confidence': np.float64(0.783), 'edge': np.float64(0.0738), 'side': 'over'}, 'ensemble': {'projection': np.float64(36.2), 'confidence': np.float64(0.785), 'edge': np.float64(0.1138), 'side': 'over'}}",over,9.38,0.78,fanduel
Austin Reaves,pra,33.5,-115,15,37.5,39.0,11.19,66.7,33.3,↓,38.8,"{'weighted': {'projection': np.float64(34.9), 'confidence': np.float64(0.783), 'edge': np.float64(0.0418), 'side': 'over'}, 'ensemble': {'projection': np.float64(36.2), 'confidence': np.float64(0.785), 'edge': np.float64(0.0806), 'side': 'over'}}",over,6.12,0.78,betonlineag
Austin Reaves,rebounds,4.5,-133,15,5.4,5.0,2.03,60.0,40.0,↓,4.2,"{'weighted': {'projection': np.float64(5.1), 'confidence': np.float64(0.585), 'edge': np.float64(0.1244), 'side': 'over'}, 'ensemble': {'projection': np.float64(5.0), 'confidence': np.float64(0.572), 'edge': np.float64(0.1222), 'side': 'over'}}",over,12.33,0.58,betonlineag
Bam Adebayo,assists,2.5,140,15,2.5,3.0,1.51,53.3,46.7,↑,2.2,"{'weighted': {'projection': np.float64(2.8), 'confidence': np.float64(0.43), 'edge': np.float64(0.14), 'side': 'over'}, 'ensemble': {'projection': np.float64(2.6), 'confidence': np.float64(0.372), 'edge': np.float64(0.06), 'side': 'over'}}",over,10.0,0.4,fanduel
