prop_id,player_name,prop_type,line,odds,pick,edge,confidence,projection,probability,injury_status,injury_source,trend,avg_5,avg_10,avg_15,streak,hit_rate_10,samples_10,hit_rate_15,samples_15
bb592d0b28ccfa79:points:7.5:over,Danny Wolf,points,7.5,-130,PASS,-0.0438,0.16,7.5,0.5214,,,UNKNOWN,,,,0,,0,,0
bb592d0b28ccfa79:points:7.5:under,Danny Wolf,points,7.5,100,PASS,-0.0214,0.16,7.5,0.4786,,,UNKNOWN,,,,0,,0,,0
17c40c7eb7c61bc4:points:16.5:over,Paul George,points,16.5,-105,PASS,-0.0229,0.16,16.66,0.4893,,,UNKNOWN,,,,0,,0,,0
17c40c7eb7c61bc4:points:16.5:under,Paul George,points,16.5,-127,PASS,-0.0488,0.16,16.66,0.5107,,,UNKNOWN,,,,0,,0,,0
16fd37e29c56d2b2:points:6.5:over,Ziaire Williams,points,6.5,-110,PASS,-0.0296,0.16,6.5,0.4943,,,UNKNOWN,,,,0,,0,,0
16fd37e29c56d2b2:points:6.5:under,Ziaire Williams,points,6.5,-118,PASS,-0.0355,0.16,6.5,0.5057,,,UNKNOWN,,,,0,,0,,0
7cf633d771671707:points:24.5:over,Michael Porter Jr,points,24.5,-114,PASS,-0.0446,0.16,24.01,0.4881,,,UNKNOWN,,,,0,,0,,0
7cf633d771671707:points:24.5:under,Michael Porter Jr,points,24.5,-117,PASS,-0.0273,0.16,24.01,0.5119,,,UNKNOWN,,,,0,,0,,0
9435460277dc2859:points:13.5:over,Noah Clowney,points,13.5,-103,PASS,-0.0263,0.16,13.5,0.4811,,,UNKNOWN,,,,0,,0,,0
9435460277dc2859:points:13.5:under,Noah Clowney,points,13.5,-130,PASS,-0.0463,0.16,13.5,0.5189,,,UNKNOWN,,,,0,,0,,0
3cfc8bdeebb00461:points:27.5:over,Tyrese Maxey,points,27.5,-130,PASS,-0.0416,0.16,27.77,0.5236,,,UNKNOWN,,,,0,,0,,0
3cfc8bdeebb00461:points:27.5:under,Tyrese Maxey,points,27.5,-103,PASS,-0.031,0.16,27.77,0.4764,,,UNKNOWN,,,,0,,0,,0
4ecbd8a26452323a:pra:25.5:over,Nicolas Claxton,pra,25.5,-112,PASS,-0.0326,0.16,25.5,0.4958,,,UNKNOWN,,,,0,,0,,0
4ecbd8a26452323a:pra:25.5:under,Nicolas Claxton,pra,25.5,-118,PASS,-0.037,0.16,25.5,0.5042,,,UNKNOWN,,,,0,,0,,0
232d2c6cb0f702e0:pra:33.5:over,Joel Embiid,pra,33.5,-120,PASS,-0.0351,0.11,33.84,0.5103,PROBABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
232d2c6cb0f702e0:pra:33.5:under,Joel Embiid,pra,33.5,-112,PASS,-0.0386,0.11,33.84,0.4897,PROBABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
e8e371aa543245b3:pra:23.5:over,VJ Edgecombe,pra,23.5,-109,PASS,-0.0259,0.06,23.73,0.4956,QUESTIONABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
e8e371aa543245b3:pra:23.5:under,VJ Edgecombe,pra,23.5,-122,PASS,-0.0451,0.06,23.73,0.5044,QUESTIONABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
3cfc8bdeebb00461:pra:38.5:over,Tyrese Maxey,pra,38.5,-124,PASS,-0.0376,0.16,38.88,0.5159,,,UNKNOWN,,,,0,,0,,0
3cfc8bdeebb00461:pra:38.5:under,Tyrese Maxey,pra,38.5,-108,PASS,-0.0352,0.16,38.88,0.4841,,,UNKNOWN,,,,0,,0,,0
13241614e2363f7b:pra:16.5:over,Egor Demin,pra,16.5,-105,PASS,-0.0276,0.16,16.5,0.4846,,,UNKNOWN,,,,0,,0,,0
13241614e2363f7b:pra:16.5:under,Egor Demin,pra,16.5,-127,PASS,-0.044,0.16,16.5,0.5154,,,UNKNOWN,,,,0,,0,,0
7cf633d771671707:pra:36.5:over,Michael Porter Jr,pra,36.5,105,PASS,-0.0293,0.16,35.77,0.4585,,,UNKNOWN,,,,0,,0,,0
