prop_id,player_name,prop_type,line,odds,pick,edge,confidence,projection,probability,injury_status,injury_source,trend,avg_5,avg_10,avg_15,streak,hit_rate_10,samples_10,hit_rate_15,samples_15
75bb0beb4aef286b:points:13.5:under,Naji Marshall,points,13.5,-121,PASS,-0.0475,0.2,13.5,0.5,,,UNKNOWN,,,,0,,0,,0
08937c7231a9a619:points:20.5:over,Cooper Flagg,points,20.5,-130,PASS,0.1093,0.249,23.11,0.6745,QUESTIONABLE,NBA Official Report,UP,26.0,24.0,21.933333333333334,0,,0,,0
08937c7231a9a619:points:20.5:under,Cooper Flagg,points,20.5,-102,PASS,-0.1795,0.249,23.11,0.3255,QUESTIONABLE,NBA Official Report,UP,26.0,24.0,21.933333333333334,0,,0,,0
7c0a71dba5efab2c:points:16.5:over,P.J. Washington,points,16.5,-108,PASS,-0.0192,0.2,16.5,0.5,,,UNKNOWN,,,,0,,0,,0
7c0a71dba5efab2c:points:16.5:under,P.J. Washington,points,16.5,-118,PASS,-0.0413,0.2,16.5,0.5,,,UNKNOWN,,,,0,,0,,0
f7e5f5c37ffec5f7:points:18.5:over,Trey Murphy III,points,18.5,-108,PASS,-0.0192,0.2,18.5,0.5,,,UNKNOWN,,,,0,,0,,0
f7e5f5c37ffec5f7:points:18.5:under,Trey Murphy III,points,18.5,-119,PASS,-0.0434,0.2,18.5,0.5,,,UNKNOWN,,,,0,,0,,0
231fe865ee873acd:points:9.5:over,Herb Jones,points,9.5,102,PASS,-0.495,0.95,2.0,0.0,,,FLAT,2.0,2.0,2.0,0,,0,,0
231fe865ee873acd:points:9.5:under,Herb Jones,points,9.5,-136,UNDER,0.4237,0.95,2.0,1.0,,,FLAT,2.0,2.0,2.0,1,1.0,1,1.0,1
4ca49f035ca2788b:points:10.5:over,Klay Thompson,points,10.5,-120,PASS,-0.0455,0.1,10.5,0.5,QUESTIONABLE,NBA Official Report,UNKNOWN,,,,0,,0,,0
