report_date,player,player_team,opponent,home_away,matchup,prop_type,line,over_odds,bookmaker,season_avg,recent_5_avg,median,std_dev,min,max,games_analyzed,times_over,times_under,times_push,over_rate_pct,is_back_to_back,days_rest,recent_mins_avg,season_mins_avg,minutes_factor,opp_defense_factor,opp_defense_rank,team_pace_factor,opp_pace_factor,combined_pace,vegas_game_total,blowout_risk,model_projection,base_projection,edge_pct,confidence_pct,recommended_pick,context_flags,adj_defense_pct,adj_location_pct,adj_b2b_pct,adj_pace_pct,adj_game_total_pct,adj_blowout_pct,adj_minutes_pct
12-06-2025,Donovan Mitchell,CLE,GSW,HOME,GSW @ CLE,assists,5.5,-130,fanduel,5.6,6.0,5.5,1.82,2.0,8.0,22,11,11,0,50.0,True,2,34.8,34.2,1.018,0.965,21,1.003,0.998,1.001,229.5,MEDIUM,4.4,4.8,-20.7,60.0,UNDER,⚠️ B2B,-3.5,2.5,-8.0,0.1,0.0,-2.0,1.8
12-06-2025,Cooper Flagg,DAL,HOU,HOME,HOU @ DAL,pra,25.5,-115,fanduel,26.9,32.0,28.0,8.94,4.0,45.0,23,13,10,0,56.5,True,2,33.4,33.6,0.994,0.945,26,1.001,0.985,0.993,220.5,MEDIUM,20.2,23.6,-20.7,64.0,UNDER,🛡️ TOUGH DEF | ⚠️ B2B,-5.5,2.5,-8.0,-0.7,-0.6,-2.0,-0.6
12-06-2025,Rudy Gobert,MIN,LAC,HOME,LAC @ MIN,rebounds,10.5,-102,fanduel,10.3,10.6,10.5,3.46,5.0,18.0,22,11,11,0,50.0,False,2,29.6,31.7,0.933,0.988,18,1.005,0.976,0.99,227.5,MEDIUM,8.3,9.1,-20.5,58.0,UNDER,⏰ MINS DOWN,-1.2,2.5,0.0,-1.0,0.0,-2.0,-6.7
12-06-2025,Kyshawn George,WAS,ATL,HOME,ATL @ WAS,pra,26.5,-106,fanduel,25.7,21.6,24.0,10.62,12.0,49.0,19,7,12,0,36.8,False,2,31.0,31.2,0.995,1.019,10,1.015,1.007,1.011,237.5,MEDIUM,31.9,30.5,20.5,71.0,OVER,📈 HIGH TOTAL,1.9,2.5,0.0,1.1,1.7,-2.0,-0.5
12-06-2025,Julius Randle,MIN,LAC,HOME,LAC @ MIN,pra,32.5,-115,fanduel,36.2,32.0,40.0,7.34,22.0,48.0,22,14,8,0,63.6,False,2,34.2,33.7,1.015,1.002,14,1.005,0.976,0.99,227.5,MEDIUM,39.1,38.5,20.3,54.0,OVER,,0.2,2.5,0.0,-1.0,0.3,-2.0,1.5
12-06-2025,Ryan Rollins,MIL,DET,AWAY,MIL @ DET,pra,29.5,-108,fanduel,27.9,24.8,27.0,9.22,14.0,52.0,24,10,14,0,41.7,True,2,35.2,32.7,1.078,0.955,22,0.991,1.002,0.996,224.5,HIGH,23.5,26.9,-20.3,45.0,UNDER,⚠️ B2B | 💨 BLOWOUT RISK | ⏰ MINS UP,-4.5,-2.5,-8.0,-0.4,-0.1,-5.0,7.8
12-06-2025,Kevin Porter Jr.,MIL,DET,AWAY,MIL @ DET,points,20.5,-106,fanduel,19.8,19.8,20.0,8.44,10.0,30.0,5,2,3,0,40.0,True,2,27.4,27.4,1.0,0.977,22,0.991,1.002,0.996,224.5,HIGH,16.4,19.8,-19.9,25.0,UNDER,⚠️ B2B | 💨 BLOWOUT RISK,-2.3,-2.5,-8.0,-0.4,-0.1,-5.0,0.0
12-06-2025,Cam Whitmore,WAS,ATL,HOME,ATL @ WAS,pra,16.5,-125,betmgm,12.7,9.8,12.0,8.16,0.0,29.0,21,6,15,0,28.6,False,2,15.8,16.9,0.937,1.019,10,1.015,1.007,1.011,237.5,MEDIUM,13.2,13.4,-19.9,69.0,UNDER,📈 HIGH TOTAL | ⏰ MINS DOWN,1.9,2.5,0.0,1.1,1.7,-2.0,-6.3
12-06-2025,Andrew Wiggins,MIA,ORL,AWAY,MIA @ ORL,rebounds,5.5,126,fanduel,5.1,5.6,5.0,2.34,2.0,9.0,20,9,11,0,45.0,True,2,33.4,33.1,1.009,0.974,22,1.04,1.003,1.021,241.5,LOW,4.4,4.9,-19.8,43.0,UNDER,⚠️ B2B,-2.6,-2.5,-8.0,2.1,0.0,0.0,0.9
12-06-2025,Kris Dunn,LAC,MIN,AWAY,LAC @ MIN,points,7.5,106,fanduel,7.7,7.4,7.0,4.26,0.0,19.0,23,11,12,0,47.8,True,2,26.2,25.9,1.011,0.989,17,0.976,1.005,0.99,227.5,MEDIUM,6.0,6.9,-19.7,36.0,UNDER,⚠️ B2B,-1.1,-2.5,-8.0,-1.0,0.3,-2.0,1.1
