prop_id,player_id,player_name,prop_type,side,line,event_id,home_team,away_team,game_time,player_team,opponent_team,is_home,rest_days,b2b,projection,probability,model_probability,market_probability,edge,confidence,confidence_tier,adjustments,adjustment_notes,avg_5,avg_10,avg_15,trend,recent_hit_rate_10,recent_hit_rate_15,recent_streak,team_out_count,team_questionable_count,team_probable_count,usage_expectation,pick,odds,injury_status,injury_source,injury_detail,market_over_odds,market_prob,market_under_odds,reason
232d2c6cb0f702e0:pra:33.5:under,232d2c6cb0f702e0,Joel Embiid,pra,under,33.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,,,33.84,0.4897,0.4842,0.492,-0.0386,0.11,LOW,{'home': 1.01},home,0.0,0.0,0.0,FLAT,,,,2,3,1,Teammates OUT: 2; Teammates Q: 3; Player status: PROBABLE,PASS,-112,PROBABLE,NBA Official Report,Injury/Illness - Right Knee; Injury Management,,,,
e8e371aa543245b3:pra:23.5:over,e8e371aa543245b3,VJ Edgecombe,pra,over,23.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,,,23.73,0.4956,0.5158,0.4869,-0.0259,0.06,LOW,{'home': 1.01},home,0.0,0.0,0.0,FLAT,,,,2,3,1,Teammates OUT: 2; Teammates Q: 3; Player status: QUESTIONABLE,PASS,-109,QUESTIONABLE,NBA Official Report,Injury/Illness - N/a; Illness,,,,
e8e371aa543245b3:pra:23.5:under,e8e371aa543245b3,VJ Edgecombe,pra,under,23.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,,,23.73,0.5044,0.4842,0.5131,-0.0451,0.06,LOW,{'home': 1.01},home,0.0,0.0,0.0,FLAT,,,,2,3,1,Teammates OUT: 2; Teammates Q: 3; Player status: QUESTIONABLE,PASS,-122,QUESTIONABLE,NBA Official Report,Injury/Illness - N/a; Illness,,,,
3cfc8bdeebb00461:pra:38.5:over,3cfc8bdeebb00461,Tyrese Maxey,pra,over,38.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,,,38.88,0.5159,0.5158,0.516,-0.0376,0.16,LOW,{'home': 1.01},home,0.0,0.0,0.0,FLAT,,,,2,3,1,Teammates OUT: 2; Teammates Q: 3,PASS,-124,,,,,,,
3cfc8bdeebb00461:pra:38.5:under,3cfc8bdeebb00461,Tyrese Maxey,pra,under,38.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,,,38.88,0.4841,0.4842,0.484,-0.0352,0.16,LOW,{'home': 1.01},home,0.0,0.0,0.0,FLAT,,,,2,3,1,Teammates OUT: 2; Teammates Q: 3,PASS,-108,,,,,,,
13241614e2363f7b:pra:16.5:over,13241614e2363f7b,Egor Demin,pra,over,16.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,,,,,,16.5,0.4846,0.5,0.4779,-0.0276,0.16,LOW,,,0.0,0.0,0.0,FLAT,,,,0,0,0,,PASS,-105,,,,,,,
13241614e2363f7b:pra:16.5:under,13241614e2363f7b,Egor Demin,pra,under,16.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,,,,,,16.5,0.5154,0.5,0.5221,-0.044,0.16,LOW,,,0.0,0.0,0.0,FLAT,,,,0,0,0,,PASS,-127,,,,,,,
7cf633d771671707:pra:36.5:over,7cf633d771671707,Michael Porter Jr,pra,over,36.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,BKN,PHI,False,,,35.77,0.4585,0.4675,0.4547,-0.0293,0.16,LOW,{'pace': 0.98},slow pace,0.0,0.0,0.0,FLAT,,,,3,0,2,Teammates OUT: 3,PASS,105,,,,,,,
7cf633d771671707:pra:36.5:under,7cf633d771671707,Michael Porter Jr,pra,under,36.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,BKN,PHI,False,,,35.77,0.5415,0.5325,0.5453,-0.0436,0.16,LOW,{'pace': 0.98},slow pace,0.0,0.0,0.0,FLAT,,,,3,0,2,Teammates OUT: 3,PASS,-141,,,,,,,
17c40c7eb7c61bc4:pra:24.5:over,17c40c7eb7c61bc4,Paul George,pra,over,24.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,,,24.75,0.5083,0.5158,0.505,-0.033,0.16,LOW,{'home': 1.01},home,0.0,0.0,0.0,FLAT,,,,2,3,1,Teammates OUT: 2; Teammates Q: 3,PASS,-118,,,,,,,
